code,Station,Latitude,Longitude,is_junction
SSM,SASARAM,24.955926,84.019423,FALSE
DTAE,DHATRIGRAM,23.277796,88.311822,FALSE
SLOR,SELOO ROAD,20.77665,78.714909,FALSE
SNI,SINDI,20.816446,78.883342,FALSE
DNUA,Dhansura,23.351916,73.19871,FALSE
SGRD,SULGARE,22.019979,82.743775,FALSE
BUA,BARADWAR,22.011725,82.813724,FALSE
SKT,SAKTI,22.011785,82.956526,FALSE
EDU,ERIODU,10.51562799,78.05712899,FALSE
SUJ,SARJU,27.111885,81.648076,FALSE
GDN,GANGAIKONDAN,8.830736,77.786203,FALSE
LDR,LANDAURA,29.814493,77.941557,FALSE
DUN,DUGANPUR,28.658317,79.13019,FALSE
CBJ,CLUTTER BUCK GANJ,28.396895,79.371946,FALSE
BE,BAREILLY,28.3371543,79.4108444,FALSE
DTC,DITOKCHERRA,25.090538,92.798715,FALSE
BPG,BADURPUR GHAT,24.872902,92.581099,FALSE
GIW,Girdharpur,25.845508,76.794583,FALSE
RYS,RASURIYA,28.26396,79.474459,FALSE
NYO,NAYAGAON,25.763263,85.099366,FALSE
PMU,PARMANANDPUR,25.741291,85.133951,FALSE
GIR,Gainsari Junction,27.5268393,82.54417891,TRUE
BPP,BAPATLA,15.9086144,80.4684248,FALSE
APL,APPIKATLA,15.970371,80.514466,FALSE
MCVM,MACHAVARAM,16.025343,80.541541,FALSE
CEL,CHEBROL,16.819948,81.396533,FALSE
GGH,Ghogardiha,26.282768,86.468503,FALSE
BPY,BADAMPUDI,16.828104,81.473751,FALSE
ARD,AMARDA ROAD,21.734258,87.102374,FALSE
PY,PERUNDURAI,11.25334,77.628672,FALSE
FSR,FAQARSAR,30.189431,74.572572,FALSE
CFG,CHAKITING,26.5616754,94.09565462,FALSE
IGR,INGUR,11.22501,77.587299,FALSE
VZ,VIJAYAMANGALAM,11.195525,77.522231,FALSE
DLA,DOULTA,24.998509,78.429325,FALSE
TBT,TALBAHAT,25.039255,78.414552,FALSE
MZX,MATATILA,25.0851,78.40284,FALSE
BZY,BASAI,25.142923,78.394254,FALSE
BAB,BABINA,25.237832,78.451748,FALSE
KHJ,KHAJRAHA,25.304158,78.478365,FALSE
BJI,BIJAULI,25.3764678,78.5177461,FALSE
JHSA,JHANSI A CABIN,25.41949,78.545787,FALSE
